account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
Promerica Platinum Dolares;Transportation;USD;12.14;242.51;Expense;Cash;Metro;2022-12-31T19:00:59.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;20;399.52;Expense;Cash;Uber de aeropuertos a casa de Marti;2022-12-31T12:29:39.909Z;false;;
Promerica Platinum Dolares;Insurances;USD;50.45;1007.8;Expense;Cash;Sofía;2022-12-30T22:11:34.000Z;false;;
BBVA Crédito;Transfer, withdraw;MXN;10753;10753;Income;Cash;;2022-12-30T19:19:53.354Z;true;;
Cash Mexico;Transfer, withdraw;MXN;10753;10753;Expense;Cash;;2022-12-30T19:19:53.354Z;true;;
BI Dolares;Transfer, withdraw;USD;495;9888.2;Expense;Cash;;2022-12-30T18:42:43.085Z;true;;
Cash Mexico;Transfer, withdraw;MXN;9888.2;9888.2;Income;Cash;;2022-12-30T18:42:43.085Z;true;;
Cash Mexico;Vehicle;MXN;500;500;Expense;Cash;Botella de regreso a Selina;2022-12-30T05:37:05.186Z;false;;
Cash Mexico;Public transport;MXN;500;500;Expense;Cash;Shuttle de coco bongo a Selina;2022-12-30T05:28:02.012Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;99;1977.64;Expense;Cash;Coco bongo;2022-12-30T02:28:12.539Z;false;;
Cash Mexico;Taxi;MXN;300;300;Expense;Cash;Taxi de Selina a Cocobongo;2022-12-30T02:27:51.044Z;false;;
Cash Mexico;Transportation;MXN;600;600;Expense;Cash;Shuttle de aeropuerto a downtown Cancun;2022-12-30T02:27:24.400Z;false;;
BI Dolares;Transfer, withdraw;USD;495;9888.2;Expense;Cash;;2022-12-30T02:26:40.822Z;true;;
Cash Mexico;Transfer, withdraw;MXN;9000;9000;Income;Cash;;2022-12-30T02:26:40.822Z;true;;
Promerica Platinum Dolares;Housing;USD;27;539.36;Expense;Cash;Selina;2022-12-30T01:28:05.124Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;22;439.48;Expense;Cash;Which which;2022-12-29T18:54:27.626Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;20;399.52;Expense;Cash;Bar de Starbucks;2022-12-29T03:32:16.369Z;false;;
Promerica Platinum Dolares;Long distance;USD;35;699.17;Expense;Cash;Otra vez maletas de United;2022-12-29T03:32:05.001Z;false;;
Promerica Platinum Dolares;Long distance;USD;35;699.17;Expense;Cash;Checking de mi maleta;2022-12-29T00:45:52.751Z;false;;
Promerica Platinum Dolares;Fuel;USD;57;1138.64;Expense;Cash;Gasolina a Huston;2022-12-28T16:44:44.902Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;29;579.31;Expense;Cash;Comida para road-trip con mamá;2022-12-27T19:08:13.143Z;false;;
Promerica Platinum Dolares;Holiday, trips, hotels;USD;83;1658.02;Expense;Cash;Parches de la NASA;2022-12-27T19:07:04.831Z;false;;
Promerica Platinum Dolares;Housing;USD;4;79.9;Expense;Cash;Reservación de Hostal en Selina;2022-12-26T09:16:18.939Z;false;;
Promerica Platinum Dolares;Leasing;USD;218;4354.8;Expense;Cash;Alquiler de Tesla Model 3 😁;2022-12-26T08:46:59.831Z;false;;
Promerica Platinum Dolares;Holiday, trips, hotels;USD;65;1298.45;Expense;Cash;Entrada a NASA para mi y mi mamá;2022-12-26T08:24:03.779Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2022-12-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2022-12-22T18:00:00.000Z;false;;
